title,author,genre,day,total_likes,status,scrape_date
The Gamer,Sangyoung Seong / Sang-A,Action,Friday,20200000,ongoing,2023-01-09
Immortal Weakling,Yaruno / Civen,Superhero,Friday,352213,hiatus,2023-01-09
So I Married the Anti-Fan,Jaerim / Eunjeong Kim,Romance,Friday,3100000,ongoing,2023-01-09
Reborn Rich,SK / JP,Drama,Friday,119877,ongoing,2023-01-09
Romance 101,Namsoo,Romance,Friday,8100000,ongoing,2023-01-09
Rooftops & Roommates,Zaanart,Comedy,Friday,4800000,ongoing,2023-01-09
Lost in Translation,Jjolee,Drama,Friday,7100000,ongoing,2023-01-09
To My First Love,Lise / Songjoo Yoo,Romance,Friday,45384,ongoing,2023-01-09
Forever After,Hannah Patten / Violet Matter,Fantasy,Friday,2600000,hiatus,2023-01-09
Murim RPG Simulation,Hyung Geun Cho / Kwang Hwi,Action,Friday,720150,ongoing,2023-01-09
Ordeal,Brent Bristol,Action,Friday,900209,ongoing,2023-01-09
The Second Lead Syndrome,Batusawa,Drama,Friday,272628,ongoing,2023-01-09
Defects,mushmello,Fantasy,Friday,514300,ongoing,2023-01-09
Saving a Mercenary Unit from Bankruptcy,cheshirenyaong / cheeka,Fantasy,Friday,131858,ongoing,2023-01-09
Hooves of Death,Sam Bragg,Fantasy,Friday,2900000,hiatus,2023-01-09
Raven Saga,Chihiro Howe,Fantasy,Friday,1900000,hiatus,2023-01-09
Gul,Atenmaru / NicolieDC,Action,Friday,1200000,hiatus,2023-01-09
Rewriting the Villainess,HONGHYE,Fantasy,Friday,1100000,ongoing,2023-01-09
Secret Playlist,2F,Romance,Friday,4400000,ongoing,2023-01-09
KILLMAX,Kennycomics / SilentMaru,Supernatural,Friday,1400000,hiatus,2023-01-09
Vixen: NYC,Jasmine Walls / Manou Azumi,Superhero,Friday,299964,ongoing,2023-01-09
Chasing Tails,BASHI,Mystery,Friday,1000000,ongoing,2023-01-09
No Scope,ZOYANG,Sports,Friday,5500000,ongoing,2023-01-09
Children of Mirra,MTS,Fantasy,Friday,111614,ongoing,2023-01-09
Four Leaf,Lumaga,Fantasy,Friday,2000000,hiatus,2023-01-09
The First Hunter,dedart / Chanwook Jeon,Action,Friday,746272,ongoing,2023-01-09
Straylight Tiger,flying-frappe,Sci-fi,Friday,452801,ongoing,2023-01-09
Crimson Heart,HYBE,Fantasy,Friday,73558,ongoing,2023-01-09
Lullaby,MJ / Baeklee,Fantasy,Friday,278043,ongoing,2023-01-09
It's On,Sokomin,Slice of life,Friday,403582,ongoing,2023-01-09
Ghost on the Roof,Klaus Scrimshaw,Drama,Friday,240088,ongoing,2023-01-09
TACIT,KimDazzi,Action,Friday,800231,ongoing,2023-01-09
MONOCHROME,Komatsuki,Action,Friday,324843,ongoing,2023-01-09
Protect the Knight,Dalbong,Fantasy,Friday,537327,ongoing,2023-01-09
Everfallen,Alai Cinereo,Fantasy,Friday,108336,ongoing,2023-01-09
Warrior Executioner,Serae Kim,Fantasy,Friday,142435,ongoing,2023-01-09
Our Resident Exorcist,BaStards / Acorn nut & GB,Action,Friday,69013,ongoing,2023-01-09
Time and Reason,Colabear,Romance,Friday,175886,ongoing,2023-01-09
Survival Log,e_no,Action,Friday,134686,ongoing,2023-01-09
Trailer Park Warlock,Matthew J. Rainwater,Comedy,Friday,764023,ongoing,2023-01-09
Heavenly Eats,Myoung rang / Allbba,Comedy,Friday,138709,ongoing,2023-01-09
Taming the Marquess,Ire / KRFFR,Romance,Friday,540131,hiatus,2023-01-09
Coffin Jackson,CTK,Drama,Friday,86118,ongoing,2023-01-09
Hwarang: Flower Knights of the Underworld,hwieum / striy,Action,Friday,113244,ongoing,2023-01-09
This Life to the Next,jojoohee / YUNO,Drama,Friday,311284,ongoing,2023-01-09
Agatha,Dain Lee,Drama,Friday,458309,ongoing,2023-01-09
Blade of the Phantom Master,Inwan Youn / Kyungil Yang,Action,Friday,99086,ongoing,2023-01-09
Boyfriends.,refrainbow,Slice of life,Friday,21100000,hiatus,2023-01-09
Suitor Armor,Purpah,Fantasy,Friday,8900000,hiatus,2023-01-09
Return of the Blossoming Blade,LICO / Biga,Action,Friday,2400000,hiatus,2023-01-09
#Blessed,M. Victoria Robado,Drama,Friday,1900000,hiatus,2023-01-09
Nomads,Captain Juuter,Fantasy,Friday,573420,hiatus,2023-01-09
"Good Luck, Hero! ",Song Hyunju,Fantasy,Friday,287884,hiatus,2023-01-09
Third Shift Society,Meredith Moriarty,Supernatural,Friday,1500000,hiatus,2023-01-09
Beyond Virtual,EGA,Drama,Friday,486345,hiatus,2023-01-09
Athena Complex,Kaisar,Fantasy,Friday,3000000,hiatus,2023-01-09
Little Rain,Mai,Romance,Friday,679926,hiatus,2023-01-09
Version Day and Night,dewkneelight,Drama,Friday,1200000,hiatus,2023-01-09
Daybreak,Moosopp,Slice of life,Saturday,2100000,ongoing,2023-01-09
The Kiss Bet,Ingrid Ochoa,Romance,Saturday,11900000,ongoing,2023-01-09
Divorcing My Tyrant Husband,Oh Youn Ha / Josara,Romance,Saturday,243205,ongoing,2023-01-09
Wished You Were Dead,SEOCHEONG / ARAN,Drama,Saturday,3300000,ongoing,2023-01-09
Your Throne,SAM,Fantasy,Saturday,13400000,ongoing,2023-01-09
+99 Reinforced Wooden Stick,HONGSIL / JIPERY,Comedy,Saturday,1000000,ongoing,2023-01-09
Like Wind on a Dry Branch,Dalsaeowl / Hwaeum,Fantasy,Saturday,8900000,ongoing,2023-01-09
For My Derelict Favorite,Kim Seonyu / Ryuho,Romance,Saturday,1000000,ongoing,2023-01-09
Sixth Sense Kiss,Got W / Jocobong,Romance,Saturday,5100000,ongoing,2023-01-09
Return to Player,UMKY / SEHON,Action,Saturday,3400000,ongoing,2023-01-09
His Majesty's Proposal,Bloomy / INUS,Fantasy,Saturday,4000000,ongoing,2023-01-09
She's Hopeless,Seokwoo,Drama,Saturday,4700000,ongoing,2023-01-09
I Get Stronger the More I Eat,Kitaeon / Frost Mourne,Action,Saturday,1800000,ongoing,2023-01-09
Adventures of God,Teo / Corey,Comedy,Saturday,29100000,ongoing,2023-01-09
Trash Belongs in the Trash Can!,EDDiERiNG,Romance,Saturday,1200000,ongoing,2023-01-09
Bluechair,Shen,Slice of life,Saturday,43600000,ongoing,2023-01-09
The Strongest Florist,Hyun hoo Joo / Kumtata,Action,Saturday,4200000,ongoing,2023-01-09
The Academy's Undercover Professor,sayren / Tana,Fantasy,Saturday,353042,ongoing,2023-01-09
Ingrid the Plague Doctor,Harry Amoros,Slice of life,Saturday,544644,ongoing,2023-01-09
Long After the Ending,Dorae / Wonderdream,Romance,Saturday,843622,ongoing,2023-01-09
Another Love ,I SOON KI / DDOGAK,Romance,Saturday,1000000,ongoing,2023-01-09
BlackSun,Play / Miin,Action,Saturday,125593,ongoing,2023-01-09
Manager Kim,Jeongjongtaek / Toy,Action,Saturday,826513,ongoing,2023-01-09
The Blood of the Butterfly,Remin,Fantasy,Saturday,1700000,ongoing,2023-01-09
Señorita Cometa,Arechan,Mystery,Saturday,625439,ongoing,2023-01-09
Devilish Romance,Lee Kong-joo / White Eagle,Supernatural,Saturday,2500000,ongoing,2023-01-09
Phone Addict,HD / 8,Romance,Saturday,547597,ongoing,2023-01-09
Survival Diary,SSurplus man,Thriller,Saturday,122240,ongoing,2023-01-09
A Whirlwind Campus Affair,Uiyoung,Drama,Saturday,838030,ongoing,2023-01-09
Skullgirls,Mike Exner III / Wiirdo / Pasteldot,Action,Saturday,101327,ongoing,2023-01-09
Charming You,Gulrim / Park Soo jung,Romance,Saturday,433972,ongoing,2023-01-09
Knight Under My Heart,Routine.  j / HAN SungWoo,Action,Saturday,264922,ongoing,2023-01-09
How to Become a Dragon,eon,Fantasy,Saturday,4000000,hiatus,2023-01-09
The Ember Knight,Hwandaeng,Fantasy,Saturday,1300000,ongoing,2023-01-09
Uriah,Toffuo,Horror,Saturday,2900000,ongoing,2023-01-09
To You Who Doesn’t Love Me,Yeonseo / Bbada,Fantasy,Saturday,105894,ongoing,2023-01-09
Our Secret Alliance,Cakenyam,Romance,Saturday,476662,ongoing,2023-01-09
Our Paradise,greeneer,Drama,Saturday,76647,ongoing,2023-01-09
Bad Signs,Jimena Aranda,Comedy,Saturday,2300000,ongoing,2023-01-09
Double Click,KIM JANGHUN / PARK SUBONG,Sports,Saturday,753528,ongoing,2023-01-09
Woven,Lark & Wren,Fantasy,Saturday,437183,ongoing,2023-01-09
Urban Animal,Justin Jordan / John Amor,Superhero,Saturday,2900000,ongoing,2023-01-09
7FATES: CHAKHO,HYBE,Fantasy,Saturday,2300000,ongoing,2023-01-09
I’m the Max-Level Newbie,SWING BAT / WAN.Z(REDICE STUDIO),Action,Saturday,1600000,ongoing,2023-01-09
Lone,Mel0h,Fantasy,Saturday,2200000,ongoing,2023-01-09
Monster Duke's Daughter,Han ocean / Chal Lan,Fantasy,Saturday,1000000,ongoing,2023-01-09
The Spark in Your Eyes,MURO,Fantasy,Saturday,1000000,ongoing,2023-01-09
Deor,J.oori,Fantasy,Saturday,3100000,ongoing,2023-01-09
Just Pancakes,HadeToons,Comedy,Saturday,2700000,ongoing,2023-01-09
Random Chat,PARK EUN HYUK,Drama,Saturday,3000000,ongoing,2023-01-09
The Monster's Bride,Steak / Sang beom,Fantasy,Saturday,685008,ongoing,2023-01-09
Branching Out,profzach,Fantasy,Saturday,93344,ongoing,2023-01-09
Eros Conquers All,ameliori,Supernatural,Saturday,284972,hiatus,2023-01-09
Unstable,Pink_Alien,Supernatural,Saturday,53636,ongoing,2023-01-09
Dr. Frost,JongBeom Lee,Mystery,Saturday,3200000,ongoing,2023-01-09
To Be Ordinary!,kkanaria,Drama,Saturday,211525,ongoing,2023-01-09
Tomorrow,Llama,Drama,Saturday,264978,ongoing,2023-01-09
Red Compass,Frank Calicó,Action,Saturday,27822,ongoing,2023-01-09
Principal's Livestream,jwawind,Comedy,Saturday,86308,ongoing,2023-01-09
Nexus Point,Trevor Mueller / Sebastian von Buchwald,Sci-fi,Saturday,48969,ongoing,2023-01-09
Meow Rangers,AHNJOO,Comedy,Saturday,191166,ongoing,2023-01-09
Eyes,Jeong Summer,Fantasy,Saturday,155669,ongoing,2023-01-09
The Croaking,echorise,Fantasy,Saturday,6700000,hiatus,2023-01-09
Winter Moon,Merryweather / MAYUI,Fantasy,Saturday,35400000,hiatus,2023-01-09
Death: Rescheduled,Snailords,Thriller,Saturday,2600000,hiatus,2023-01-09
Doom Breaker,Blue-Deep,Action,Saturday,3100000,hiatus,2023-01-09
Men of the Harem,HereLee / Alphatart,Fantasy,Saturday,8100000,hiatus,2023-01-09
Clinic of Horrors,Merryweather / PokuriMio,Supernatural,Saturday,6400000,hiatus,2023-01-09
Midnight Poppy Land,Lilydusk,Romance,Saturday,14600000,hiatus,2023-01-09
Shiloh,Kit Trace / Kate Flynn,Thriller,Saturday,2100000,hiatus,2023-01-09
LMLY,edbe,Romance,Saturday,896282,hiatus,2023-01-09
Death of a Pop Star,Violet Karim,Romance,Saturday,2500000,hiatus,2023-01-09
#Killstagram,Ryoung,Thriller,Saturday,3700000,hiatus,2023-01-09
Lore Olympus,Rachel Smythe,Romance,Sunday,60400000,ongoing,2023-01-09
Castle Swimmer,Wendy Lian Martin,Fantasy,Sunday,21800000,ongoing,2023-01-09
High Class Homos,Momozerii,Comedy,Sunday,8000000,hiatus,2023-01-09
My Gently Raised Beast,Yeoseulki / Early Flower,Romance,Sunday,9700000,ongoing,2023-01-09
LUMINE,Emma Krogell,Fantasy,Sunday,21700000,ongoing,2023-01-09
My In-Laws are Obsessed with Me ,seungu / Han Yoon seol,Fantasy,Sunday,3100000,ongoing,2023-01-09
Get Schooled,Yongtaek Chae / GARAM HAN,Drama,Sunday,6600000,ongoing,2023-01-09
Jackson's Diary,Paola Batalla,Supernatural,Sunday,6800000,ongoing,2023-01-09
DARK MOON: THE BLOOD ALTAR,HYBE,Fantasy,Sunday,2600000,ongoing,2023-01-09
Designated Bully,GRIMZO,Action,Sunday,644891,ongoing,2023-01-09
Lookism,Taejun Pak,Drama,Sunday,45200000,ongoing,2023-01-09
The Lone Necromancer,JJJ / KIM KYOUNG-YEOL,Fantasy,Sunday,2100000,ongoing,2023-01-09
Perfect Marriage Revenge,Yibambe / so young,Romance,Sunday,3700000,ongoing,2023-01-09
From a Knight to a Lady,Ink. / Hyerim Sung,Fantasy,Sunday,3300000,ongoing,2023-01-09
The Greatest Estate Developer,Lee hyunmin / Kim Hyunsoo,Fantasy,Sunday,1900000,ongoing,2023-01-09
The Druid of Seoul Station,liveBear / Mun sung ho,Action,Sunday,2200000,ongoing,2023-01-09
There Must Be Happy Endings,Jaerim / Bulsa,Romance,Sunday,3600000,ongoing,2023-01-09
Hyperfocus,Kip Trevor,Slice of life,Sunday,2300000,hiatus,2023-01-09
After School Lessons for Unripe Apples,Soonkki,Drama,Sunday,2600000,ongoing,2023-01-09
The Newlywed Diary of a Witch and a Dragon,New lung / Dimang,Romance,Sunday,5200000,ongoing,2023-01-09
Can I Take It Back?,shinmae,Romance,Sunday,860528,ongoing,2023-01-09
Everywhere & Nowhere,Merryweather / PeaCH,Comedy,Sunday,11400000,hiatus,2023-01-09
Limit Breaker,Oh / Hongsil,Action,Sunday,630470,ongoing,2023-01-09
The Warrior Returns,NARACK / FUNGBACK,Action,Sunday,1000000,ongoing,2023-01-09
LoveBot,Chase Keels / Miranda Mundt,Sci-fi,Sunday,2500000,ongoing,2023-01-09
Judge and Executioner,KIM SOONG NYUNG / GWANG SAN,Thriller,Sunday,35597,ongoing,2023-01-09
Half-Ghost,Sejung,Romance,Sunday,2400000,ongoing,2023-01-09
Blood-Ink,Lupicut,Action,Sunday,4800000,ongoing,2023-01-09
Study Group,Hyungwuk Shin / Seungyeon Ryu,Action,Sunday,1600000,ongoing,2023-01-09
Hanlim Gym,Hyeseong / Sukjae Lee,Sports,Sunday,926507,ongoing,2023-01-09
Live with Yourself!,Shen / David J Catman,Comedy,Sunday,12400000,ongoing,2023-01-09
The Matchmaking Baby Princess,Jimmy Sin / Karin Park,Fantasy,Sunday,1400000,ongoing,2023-01-09
CARL,Hussein Traboulsi,Slice of life,Sunday,5000000,hiatus,2023-01-09
Complicated Cohabitation,Hwang Han-Young / I-room,Romance,Sunday,39262,ongoing,2023-01-09
Smity and Majesty,Nekucciola,Comedy,Sunday,1200000,ongoing,2023-01-09
Metro Hunter,YOPY / Mr.Cheok,Action,Sunday,488944,ongoing,2023-01-09
Rewriting Our Love Story,choi gyeong min / young mo,Romance,Sunday,281319,ongoing,2023-01-09
Religiously Gay,Snotprince,Romance,Sunday,232851,hiatus,2023-01-09
My Irresistible Ex,Ki moong / YeoBack,Romance,Sunday,674292,ongoing,2023-01-09
The Secrets of the Willson Family,MILL2,Mystery,Sunday,112660,ongoing,2023-01-09
Seed,Said P.,Sci-fi,Sunday,3200000,ongoing,2023-01-09
Vibe Check!,Ucheomaaa,Comedy,Sunday,520050,ongoing,2023-01-09
It Rains on Precious Days,RYO. / YABOMI,Romance,Sunday,210309,ongoing,2023-01-09
Savior,Junqi / Jo9,Fantasy,Sunday,450724,ongoing,2023-01-09
Trapped,HAEMURI,Thriller,Sunday,705320,ongoing,2023-01-09
Loser Coin,Lee Je Hwan / Beomsik,Drama,Sunday,172336,ongoing,2023-01-09
Shingi: The Spirit's Playbook,BBing / Min A,Action,Sunday,99552,ongoing,2023-01-09
The World is Money and Power,Dongwoo Han / Dohee Lee,Action,Sunday,944169,ongoing,2023-01-09
Time Roulette,SN / Bae302,Fantasy,Sunday,121127,ongoing,2023-01-09
Vampire Magicka,Bryan Golden,Fantasy,Sunday,116904,ongoing,2023-01-09
Master of Villains,DdeokkuE / Izi,Action,Sunday,277721,ongoing,2023-01-09
Tales of Sarimin the Jinn,NAGATERBANG,Action,Sunday,183544,ongoing,2023-01-09
Traveler,T Campbell / John & Jason Waltrip,Superhero,Sunday,29593,ongoing,2023-01-09
The Legendary Fossil,CHUNG JONG / BESI,Drama,Sunday,359736,hiatus,2023-01-09
Covenant,explodikid,Action,Sunday,2300000,hiatus,2023-01-09
I'm the Grim Reaper,GRAVEWEAVER,Supernatural,Sunday,11500000,hiatus,2023-01-09
Not Even Bones,R Schaeffer / Starpiper,Thriller,Sunday,10400000,hiatus,2023-01-09
The Wildlands,littlebobler,Fantasy,Sunday,111854,hiatus,2023-01-09
Evelyne and the Occult,InksOwl comics,Supernatural,Sunday,1400000,hiatus,2023-01-09
Stray Souls,Maf,Fantasy,Sunday,2400000,hiatus,2023-01-09
IF,Keon Tan,Action,Sunday,469384,hiatus,2023-01-09
The Remarried Empress,Alphatart / Sumpul,Fantasy,Sunday,25500000,hiatus,2023-01-09
R-X: RAYER HUNTER,Gyoc / Hanga,Sci-fi,Sunday,97679,hiatus,2023-01-09
Blades of Furry,Deya Muniz / Emily Erdos,Romance,Sunday,3200000,hiatus,2023-01-09
The Shadow Prophet,Anne Delseit / Marissa Delbressine,Drama,Sunday,307191,hiatus,2023-01-09
Mystical,VAN.J,Supernatural,Completed,3500000,completed,2023-01-09
Shotgun Boy,Carnby Kim / Hongpil,Thriller,Completed,4300000,completed,2023-01-09
Sweet Home,Carnby Kim / Youngchan Hwang,Thriller,Completed,18000000,completed,2023-01-09
Hardcore Leveling Warrior,Sehoon Kim,Action,Completed,15600000,completed,2023-01-09
The Boxer,JH,Sports,Completed,11100000,completed,2023-01-09
The Male Lead's Girl Friend,KAKON / RYU HEON,Romance,Completed,1600000,completed,2023-01-09
Hooky,Míriam Bonastre Tur,Fantasy,Completed,9700000,completed,2023-01-09
The Child of a Star,Sunny,Fantasy,Completed,41480,ongoing,2023-01-09
Freaking Romance,Snailords,Romance,Completed,21000000,completed,2023-01-09
The Horizon,JH,Drama,Completed,370078,completed,2023-01-09
The First Night With the Duke,MSG / Teava,Fantasy,Completed,11700000,completed,2023-01-09
To Love Your Enemy,Jungyoon / Taegeon,Romance,Completed,12800000,completed,2023-01-09
My Deepest Secret,Hanza Art,Thriller,Completed,15600000,completed,2023-01-09
Unholy Blood,Lina Im / Jeonghyeon Kim,Supernatural,Completed,13200000,completed,2023-01-09
A Heart for the Emperor,6S / coconutberry,Romance,Completed,408447,completed,2023-01-09
Ghost Wife,Sejung,Romance,Completed,10600000,completed,2023-01-09
My Boo,Jeongseo,Supernatural,Completed,3000000,completed,2023-01-09
Devil Number 4,jangjin / woombeee,Supernatural,Completed,13400000,completed,2023-01-09
Love and Leashes,Winter,Romance,Completed,2000000,completed,2023-01-09
'Til Debt Do Us Part,janggreen / flowbee,Romance,Completed,1800000,completed,2023-01-09
Siren's Lament,instantmiso,Romance,Completed,23400000,completed,2023-01-09
Bastard,Carnby Kim / Youngchan Hwang,Thriller,Completed,7600000,completed,2023-01-09
Tales of Greed,Juin Kim / Taejun Pak Webtoon Company,Thriller,Completed,768158,completed,2023-01-09
"God, Please Make Me a Demon! ",Bulsa / Yomgary,Comedy,Completed,1700000,completed,2023-01-09
My Life as a Loser,Taejun Pak / SW Jeon,Drama,Completed,717391,completed,2023-01-09
SAVE ME,Big Hit Ent. / LICO,Drama,Completed,4200000,completed,2023-01-09
The Makeup Remover,Lee Yone,Romance,Completed,13300000,completed,2023-01-09
Age Matters,Enjelicious,Romance,Completed,28600000,completed,2023-01-09
How to Survive a Romance Fantasy,sing-nanda,Fantasy,Completed,1500000,completed,2023-01-09
My Dear Cold-Blooded King,lifelight,Romance,Completed,15800000,completed,2023-01-09
No Longer A Heroine!,Maenggi Ki,Drama,Completed,3800000,completed,2023-01-09
Mosquito Wars,JH,Sci-fi,Completed,591677,completed,2023-01-09
Girls of the Wild's,HUN / ZHENA,Action,Completed,7600000,completed,2023-01-09
A Good Day to be a Dog,Lee Hey,Romance,Completed,10500000,completed,2023-01-09
It's Mine,LuckS,Thriller,Completed,10200000,completed,2023-01-09
Our Beloved Summer,Han Kyoung Chal / Lee Naeun,Romance,Completed,670346,completed,2023-01-09
All of Us Are Dead,Joo Dong-geun,Thriller,Completed,1300000,completed,2023-01-09
My Daughter is a Zombie,Yun-chang Lee,Comedy,Completed,2300000,completed,2023-01-09
My ID is Gangnam Beauty!,Maenggi Ki,Drama,Completed,1300000,completed,2023-01-09
Disconnected from Reality,HHAANN / LIMYE,Thriller,Completed,276761,completed,2023-01-09
The Snake and the Flower,Na-eum So,Historical,Completed,1000000,completed,2023-01-09
Rumor Has It,sungA,Romance,Completed,864988,completed,2023-01-09
Promise of an Orchid,Jeong Hyun joo / PARK JIN HWAN,Fantasy,Completed,663612,completed,2023-01-09
Where Tangents Meet,instantmiso,Romance,Completed,2900000,completed,2023-01-09
Days of Hana,Seokwoo,Drama,Completed,7500000,completed,2023-01-09
She Would Never Know,Cafelatte / JINHA,Romance,Completed,1600000,completed,2023-01-09
Publishing Love,Rosa / Song Yi,Romance,Completed,270952,completed,2023-01-09
A Useless Villain,Yeoul / ODI,Action,Completed,1200000,completed,2023-01-09
PIGPEN,Carnby Kim / Beom Sick Cheon,Thriller,Completed,1800000,completed,2023-01-09
The Predator,Chi Chi / Shin Heebin,Thriller,Completed,534709,completed,2023-01-09
Noblesse,Jeho Son / Kwangsu Lee,Action,Completed,21000000,completed,2023-01-09
Our Time,seaweed candy / Leewol,Drama,Completed,480225,completed,2023-01-09
Tales of the Unusual,Sungdae Oh,Horror,Completed,9900000,completed,2023-01-09
Island,Inwan Youn / Kyungil Yang,Action,Completed,75967,completed,2023-01-09
Toaster Dude,littlebobler / soaporsalad,Comedy,Completed,3300000,completed,2023-01-09
Nevertheless,Jeongseo,Romance,Completed,1200000,completed,2023-01-09
GremoryLand,A.Rasen,Horror,Completed,2300000,completed,2023-01-09
Miss Abbott and the Doctor,Maripaz Villar,Romance,Completed,8300000,completed,2023-01-09
Refund High School,LICO,Fantasy,Completed,11900000,completed,2023-01-09
The Wolf & Red Riding Hood,XUANN,Comedy,Completed,3600000,completed,2023-01-09
Ecstasy Hearts,SilentMaru,Sports,Completed,4500000,completed,2023-01-09
Back to You,Honey B,Drama,Completed,5000000,completed,2023-01-09
Super Secret,eon,Romance,Completed,11900000,completed,2023-01-09
Ghost Teller,QTT,Horror,Completed,5300000,completed,2023-01-09
Dating With a Tail,Jinha / Hepon,Romance,Completed,3200000,completed,2023-01-09
Night Fishing,LICO / GOOD GUY,Thriller,Completed,50355,completed,2023-01-09
The Girl Downstairs,Songah Min,Romance,Completed,3900000,completed,2023-01-09
Hell is Other People,Yong-Ki Kim,Thriller,Completed,691141,completed,2023-01-09
Locker & Opener,Manchi / Barunflower,Mystery,Completed,635204,completed,2023-01-09
Dear X,VANZIUN,Thriller,Completed,828486,completed,2023-01-09
Yumi's Cells,Donggeon Lee,Slice of life,Completed,18900000,completed,2023-01-09
Rotten,Goodguy,Thriller,Completed,1200000,completed,2023-01-09
LUFF,Arechan,Romance,Completed,9200000,completed,2023-01-09
ORANGE MARMALADE,Seokwoo,Romance,Completed,4900000,completed,2023-01-09
Death's Game,LEE WONSIK / GGULCHAN,Drama,Completed,1500000,completed,2023-01-09
The Nuna at Our Office,WasakBasak / JANE,Drama,Completed,763986,completed,2023-01-09
The Wrath & the Dawn,Renée Ahdieh / SilvesterVitale,Fantasy,Completed,5500000,completed,2023-01-09
Hellbound,Choi Gyuseok / Yeon Sangho,Thriller,Completed,247461,completed,2023-01-09
Cheese in the Trap,Soonkki,Drama,Completed,9300000,completed,2023-01-09
When the Day Comes,OMYO,Heartwarming,Completed,1500000,completed,2023-01-09
Witch Hunt,SSO PARK,Supernatural,Completed,1100000,completed,2023-01-09
Oh! Holy,Ahyun,Romance,Completed,8500000,completed,2023-01-09
Ghost Theater,LICO,Drama,Completed,2200000,completed,2023-01-09
Nano List,Songah Min,Sci-fi,Completed,3400000,completed,2023-01-09
Anti-Monster Force,Goaten,Fantasy,Completed,490104,completed,2023-01-09
SAMADHI,LEE WONSIK / GGULCHAN,Superhero,Completed,594612,completed,2023-01-09
Double-Binded By Love,Fortune King / Esam,Romance,Completed,205355,completed,2023-01-09
Zombie Ship,choi hae woong / Choi Insoo,Horror,Completed,203879,completed,2023-01-09
There's Love Hidden in Lies,Kawai Aporo,Romance,Completed,1500000,completed,2023-01-09
Let Me Stay Over Tonight!,Yunana / Heabun,Romance,Completed,1900000,completed,2023-01-09
Finding Wonderland,roousuu / WmW,Fantasy,Completed,1000000,completed,2023-01-09
Madame Outlaw,Junk Ren / WmW,Historical,Completed,1300000,completed,2023-01-09
Whale Star: The Gyeongseong Mermaid,Na Yoonhee,Drama,Completed,1300000,completed,2023-01-09
Spirit Fingers,Han Kyoung Chal,Drama,Completed,5300000,completed,2023-01-09
Mythical Errand,GGOLI,Fantasy,Completed,543564,completed,2023-01-09
The Aftermath,Bongsoo,Drama,Completed,176578,completed,2023-01-09
Before We Knew It,Nakano Mayaka,Romance,Completed,4600000,completed,2023-01-09
Deadlife,Hooressha / Jinguk Lim,Action,Completed,467866,completed,2023-01-09
Scorching Romance,Hongchi,Romance,Completed,5400000,completed,2023-01-09
Fluffy Boyfriend,Mihi,Supernatural,Completed,4900000,completed,2023-01-09
See No Evil,Gwangtanto / Maduru,Thriller,Completed,473259,completed,2023-01-09
The Sound of Magic: Annarasumanara,Ilkwon Ha,Drama,Completed,922939,completed,2023-01-09
Her Bucket List,Yellow sheep / So-p,Romance,Completed,1200000,completed,2023-01-09
Witch Creek Road,Garth the Geek / Kenan Halilovic,Horror,Completed,1800000,completed,2023-01-09
DICE,Hyunseok Yun,Fantasy,Completed,10400000,completed,2023-01-09
GOSU,Giun Ryu / Mun Jeong Hoo,Action,Completed,6300000,completed,2023-01-09
