site,season,season_chapter,overall_chapter,comment_count,date
naver,3,133,550,7243,"Aug 14, 2022"
naver,3,132,549,3596,"Aug 07, 2022"
naver,3,131,548,4473,"Jul 31, 2022"
naver,3,130,547,3262,"Jul 24, 2022"
naver,3,129,546,4782,"Jul 17, 2022"
naver,3,128,545,2609,"Jul 10, 2022"
naver,3,127,544,4386,"Jul 03, 2022"
naver,3,126,543,3141,"Jun 26, 2022"
naver,3,125,542,2254,"Jun 19, 2022"
naver,3,124,541,2309,"Jun 12, 2022"
naver,3,123,540,2478,"Jun 05, 2022"
naver,3,122,539,3640,"May 29, 2022"
naver,3,121,538,1616,"May 22, 2022"
naver,3,120,537,3520,"May 08, 2022"
naver,3,119,536,1925,"May 01, 2022"
naver,3,118,535,2645,"Apr 24, 2022"
naver,3,117,534,2776,"Apr 17, 2022"
naver,3,116,533,1764,"Apr 10, 2022"
naver,3,115,532,2894,"Apr 03, 2022"
naver,3,114,531,2805,"Mar 27, 2022"
naver,3,113,530,2468,"Mar 20, 2022"
naver,3,112,529,1836,"Mar 13, 2022"
naver,3,111,528,1355,"Mar 06, 2022"
naver,3,110,527,1767,"Feb 27, 2022"
naver,3,109,526,2269,"Feb 20, 2022"
naver,3,108,525,2390,"Feb 13, 2022"
naver,3,107,524,2566,"Feb 06, 2022"
naver,3,106,523,2690,"Jan 30, 2022"
naver,3,105,522,3526,"Jan 23, 2022"
naver,3,104,521,2141,"Jan 16, 2022"
naver,3,103,520,2787,"Jan 09, 2022"
naver,3,102,519,3461,"Jan 02, 2022"
naver,3,101,518,1926,"Dec 26, 2021"
naver,3,100,517,2356,"Dec 19, 2021"
naver,3,99,516,2780,"Dec 12, 2021"
naver,3,98,515,2332,"Dec 05, 2021"
naver,3,97,514,2334,"Nov 28, 2021"
naver,3,96,513,2745,"Nov 21, 2021"
naver,3,95,512,4939,"Nov 14, 2021"
naver,3,94,511,3733,"Nov 07, 2021"
naver,3,93,510,3840,"Oct 31, 2021"
naver,3,92,509,3496,"Oct 24, 2021"
naver,3,91,508,4835,"Oct 17, 2021"
naver,3,90,507,5219,"Oct 10, 2021"
naver,3,89,506,5228,"Oct 03, 2021"
naver,3,88,505,3888,"Sep 26, 2021"
naver,3,87,504,3935,"Sep 19, 2021"
naver,3,86,503,4641,"Sep 12, 2021"
naver,3,85,502,3686,"Sep 05, 2021"
naver,3,84,501,4083,"Aug 29, 2021"
naver,3,83,500,5053,"Aug 22, 2021"
naver,3,82,499,3072,"Aug 15, 2021"
naver,3,81,498,2817,"Aug 08, 2021"
naver,3,80,497,6392,"Aug 01, 2021"
naver,3,79,496,2008,"Jul 25, 2021"
naver,3,78,495,2283,"Jul 18, 2021"
naver,3,77,494,2190,"Jul 11, 2021"
naver,3,76,493,1765,"Jul 04, 2021"
naver,3,75,492,3158,"Jun 27, 2021"
naver,3,74,491,2020,"Jun 20, 2021"
naver,3,73,490,3670,"Jun 13, 2021"
naver,3,72,489,4309,"Jun 06, 2021"
naver,3,71,488,2181,"May 30, 2021"
naver,3,70,487,3759,"May 23, 2021"
naver,3,69,486,17457,"May 16, 2021"
naver,3,68,485,84682,"Jun 21, 2020"
naver,3,67,484,5409,"Jun 14, 2020"
naver,3,66,483,6461,"Jun 07, 2020"
naver,3,65,482,6931,"May 31, 2020"
naver,3,64,481,8761,"May 24, 2020"
naver,3,63,480,4738,"May 17, 2020"
naver,3,62,479,4613,"May 10, 2020"
naver,3,61,478,6635,"May 03, 2020"
naver,3,60,477,5905,"Apr 26, 2020"
naver,3,59,476,4899,"Apr 19, 2020"
naver,3,58,475,5472,"Apr 12, 2020"
naver,3,57,474,9229,"Apr 05, 2020"
naver,3,56,473,5435,"Mar 29, 2020"
naver,3,55,472,3358,"Mar 22, 2020"
naver,3,54,471,3748,"Mar 15, 2020"
naver,3,53,470,3580,"Mar 08, 2020"
naver,3,52,469,4701,"Mar 01, 2020"
naver,3,51,468,5833,"Feb 23, 2020"
naver,3,50,467,4179,"Feb 16, 2020"
naver,3,49,466,7619,"Feb 09, 2020"
naver,3,48,465,3042,"Feb 02, 2020"
naver,3,47,464,2707,"Jan 26, 2020"
naver,3,46,463,3052,"Jan 19, 2020"
naver,3,45,462,3697,"Jan 12, 2020"
naver,3,44,461,2637,"Jan 05, 2020"
naver,3,43,460,3233,"Dec 29, 2019"
naver,3,42,459,3279,"Dec 22, 2019"
naver,3,41,458,2386,"Dec 15, 2019"
naver,3,40,457,2190,"Dec 08, 2019"
naver,3,39,456,2223,"Dec 01, 2019"
naver,3,38,455,2623,"Nov 24, 2019"
naver,3,37,454,2623,"Nov 17, 2019"
naver,3,36,453,3503,"Nov 10, 2019"
naver,3,35,452,2672,"Nov 03, 2019"
naver,3,34,451,2500,"Oct 27, 2019"
naver,3,33,450,2341,"Oct 20, 2019"
naver,3,32,449,3328,"Oct 13, 2019"
naver,3,31,448,4653,"Oct 06, 2019"
naver,3,30,447,4983,"Sep 29, 2019"
naver,3,29,446,4610,"Sep 22, 2019"
naver,3,28,445,4829,"Sep 15, 2019"
naver,3,27,444,3821,"Sep 08, 2019"
naver,3,26,443,2798,"Sep 01, 2019"
naver,3,25,442,3715,"Aug 25, 2019"
naver,3,24,441,3738,"Aug 18, 2019"
naver,3,23,440,4129,"Aug 11, 2019"
naver,3,22,439,5799,"Aug 04, 2019"
naver,3,21,438,3080,"Jul 28, 2019"
naver,3,20,437,3017,"Jul 21, 2019"
naver,3,19,436,3696,"Jul 14, 2019"
naver,3,18,435,2822,"Jul 07, 2019"
naver,3,17,434,3470,"Jun 30, 2019"
naver,3,16,433,4575,"Jun 23, 2019"
naver,3,15,432,2929,"Jun 16, 2019"
naver,3,14,431,3208,"Jun 09, 2019"
naver,3,13,430,3132,"Jun 02, 2019"
naver,3,12,429,3225,"May 26, 2019"
naver,3,11,428,2805,"May 19, 2019"
naver,3,10,427,4911,"May 12, 2019"
naver,3,9,426,3589,"May 05, 2019"
naver,3,8,425,5095,"Apr 28, 2019"
naver,3,7,424,4324,"Apr 21, 2019"
naver,3,6,423,5351,"Apr 14, 2019"
naver,3,5,422,4332,"Apr 07, 2019"
naver,3,4,421,7906,"Mar 31, 2019"
naver,3,3,420,5651,"Mar 24, 2019"
naver,3,2,419,5465,"Mar 17, 2019"
naver,3,1,418,14531,"Mar 10, 2019"
naver,2,337,417,27255,"Jan 20, 2019"
naver,2,336,416,7109,"Jan 13, 2019"
naver,2,335,415,8525,"Jan 06, 2019"
naver,2,334,414,7216,"Dec 30, 2018"
naver,2,333,413,7016,"Dec 23, 2018"
naver,2,332,412,6332,"Dec 16, 2018"
naver,2,331,411,8087,"Dec 09, 2018"
naver,2,330,410,5814,"Dec 02, 2018"
naver,2,329,409,6650,"Nov 25, 2018"
naver,2,328,408,11601,"Nov 18, 2018"
naver,2,327,407,5189,"Nov 11, 2018"
naver,2,326,406,6500,"Nov 04, 2018"
naver,2,325,405,4749,"Oct 28, 2018"
naver,2,324,404,4802,"Oct 21, 2018"
naver,2,323,403,4834,"Oct 14, 2018"
naver,2,322,402,4268,"Oct 07, 2018"
naver,2,321,401,4332,"Sep 30, 2018"
naver,2,320,400,3389,"Sep 23, 2018"
naver,2,319,399,2921,"Sep 16, 2018"
naver,2,318,398,3360,"Sep 09, 2018"
naver,2,317,397,4375,"Sep 02, 2018"
naver,2,316,396,5674,"Aug 26, 2018"
naver,2,315,395,3832,"Aug 19, 2018"
naver,2,314,394,4170,"Aug 12, 2018"
naver,2,313,393,5338,"Aug 05, 2018"
naver,2,312,392,5203,"Jul 29, 2018"
naver,2,311,391,5386,"Jul 22, 2018"
naver,2,310,390,5249,"Jul 15, 2018"
naver,2,309,389,3969,"Jul 08, 2018"
naver,2,308,388,4274,"Jul 01, 2018"
naver,2,307,387,4048,"Jun 24, 2018"
naver,2,306,386,5371,"Jun 17, 2018"
naver,2,305,385,5855,"Jun 10, 2018"
naver,2,304,384,5339,"Jun 03, 2018"
naver,2,303,383,5095,"May 27, 2018"
naver,2,302,382,5587,"May 20, 2018"
naver,2,301,381,8072,"May 13, 2018"
naver,2,300,380,3025,"May 06, 2018"
naver,2,299,379,3062,"Apr 29, 2018"
naver,2,298,378,2504,"Apr 22, 2018"
naver,2,297,377,2188,"Apr 15, 2018"
naver,2,296,376,2753,"Apr 08, 2018"
naver,2,295,375,2583,"Apr 01, 2018"
naver,2,294,374,3614,"Mar 25, 2018"
naver,2,293,373,3629,"Mar 18, 2018"
naver,2,292,372,3487,"Mar 11, 2018"
naver,2,291,371,2249,"Mar 04, 2018"
naver,2,290,370,3365,"Feb 25, 2018"
naver,2,289,369,3266,"Feb 18, 2018"
naver,2,288,368,2990,"Feb 11, 2018"
naver,2,287,367,2927,"Feb 04, 2018"
naver,2,286,366,3952,"Jan 28, 2018"
naver,2,285,365,3412,"Jan 21, 2018"
naver,2,284,364,4121,"Jan 14, 2018"
naver,2,283,363,3135,"Jan 07, 2018"
naver,2,282,362,2783,"Dec 31, 2017"
naver,2,281,361,2013,"Dec 24, 2017"
naver,2,280,360,2460,"Dec 17, 2017"
naver,2,279,359,2158,"Dec 10, 2017"
naver,2,278,358,2684,"Dec 03, 2017"
naver,2,277,357,2377,"Nov 26, 2017"
naver,2,276,356,3595,"Nov 19, 2017"
naver,2,275,355,2634,"Nov 12, 2017"
naver,2,274,354,2299,"Nov 05, 2017"
naver,2,273,353,3461,"Oct 29, 2017"
naver,2,272,352,3076,"Oct 22, 2017"
naver,2,271,351,2857,"Oct 15, 2017"
naver,2,270,350,2837,"Oct 08, 2017"
naver,2,269,349,3392,"Oct 01, 2017"
naver,2,268,348,3672,"Sep 24, 2017"
naver,2,267,347,2792,"Sep 17, 2017"
naver,2,266,346,3594,"Sep 10, 2017"
naver,2,265,345,3989,"Sep 03, 2017"
naver,2,264,344,4848,"Aug 27, 2017"
naver,2,263,343,3630,"Aug 20, 2017"
naver,2,262,342,3884,"Aug 13, 2017"
naver,2,261,341,6634,"Aug 06, 2017"
naver,2,260,340,4534,"Jul 30, 2017"
naver,2,259,339,4846,"Jul 23, 2017"
naver,2,258,338,5414,"Jul 16, 2017"
naver,2,257,337,7153,"Jul 09, 2017"
naver,2,256,336,6472,"Jun 25, 2017"
naver,2,255,335,4940,"Jun 18, 2017"
naver,2,254,334,5166,"Jun 11, 2017"
naver,2,253,333,4711,"Jun 04, 2017"
naver,2,252,332,5108,"May 28, 2017"
naver,2,251,331,5700,"May 21, 2017"
naver,2,250,330,5702,"May 14, 2017"
naver,2,249,329,4796,"May 07, 2017"
naver,2,248,328,4163,"Apr 30, 2017"
naver,2,247,327,5053,"Apr 23, 2017"
naver,2,246,326,5603,"Apr 16, 2017"
naver,2,245,325,6663,"Apr 09, 2017"
naver,2,244,324,6926,"Apr 02, 2017"
naver,2,243,323,3988,"Mar 26, 2017"
naver,2,242,322,4347,"Mar 19, 2017"
naver,2,241,321,6395,"Mar 12, 2017"
naver,2,240,320,12327,"Mar 05, 2017"
naver,2,239,319,8627,"Feb 26, 2017"
naver,2,238,318,8109,"Feb 19, 2017"
naver,2,237,317,5755,"Feb 12, 2017"
naver,2,236,316,5193,"Feb 05, 2017"
naver,2,235,315,6122,"Jan 29, 2017"
naver,2,234,314,5387,"Jan 22, 2017"
naver,2,233,313,5110,"Jan 15, 2017"
naver,2,232,312,5444,"Jan 08, 2017"
naver,2,231,311,6324,"Jan 01, 2017"
naver,2,230,310,7344,"Dec 25, 2016"
naver,2,229,309,7928,"Dec 18, 2016"
naver,2,228,308,6387,"Dec 11, 2016"
naver,2,227,307,9532,"Dec 04, 2016"
naver,2,226,306,10149,"Nov 27, 2016"
naver,2,225,305,5989,"Nov 20, 2016"
naver,2,224,304,7714,"Nov 13, 2016"
naver,2,223,303,7388,"Nov 06, 2016"
naver,2,222,302,7525,"Oct 30, 2016"
naver,2,221,301,5836,"Oct 23, 2016"
naver,2,220,300,8388,"Oct 16, 2016"
naver,2,219,299,14666,"Oct 09, 2016"
naver,2,218,298,9884,"Oct 02, 2016"
naver,2,217,297,5427,"Sep 25, 2016"
naver,2,216,296,8726,"Sep 18, 2016"
naver,2,215,295,8147,"Sep 11, 2016"
naver,2,214,294,9493,"Sep 04, 2016"
naver,2,213,293,5341,"Aug 28, 2016"
naver,2,212,292,7613,"Aug 21, 2016"
naver,2,211,291,6191,"Aug 14, 2016"
naver,2,210,290,7840,"Aug 07, 2016"
naver,2,209,289,10077,"Jul 31, 2016"
naver,2,208,288,19281,"Jul 24, 2016"
naver,2,207,287,8899,"Jul 17, 2016"
naver,2,206,286,8715,"Jul 10, 2016"
naver,2,205,285,10276,"Jul 03, 2016"
naver,2,204,284,9560,"Jun 26, 2016"
naver,2,203,283,9274,"Jun 19, 2016"
naver,2,202,282,8622,"Jun 12, 2016"
naver,2,201,281,7507,"Jun 05, 2016"
naver,2,200,280,10121,"May 29, 2016"
naver,2,199,279,11079,"May 22, 2016"
naver,2,198,278,10566,"May 15, 2016"
naver,2,197,277,13263,"May 08, 2016"
naver,2,196,276,17859,"May 01, 2016"
naver,2,195,275,32303,"Mar 27, 2016"
naver,2,194,274,10850,"Mar 20, 2016"
naver,2,193,273,19805,"Mar 13, 2016"
naver,2,192,272,14931,"Mar 06, 2016"
naver,2,191,271,16628,"Feb 28, 2016"
naver,2,190,270,14615,"Feb 21, 2016"
naver,2,189,269,17724,"Feb 14, 2016"
naver,2,188,268,10703,"Feb 07, 2016"
naver,2,187,267,10470,"Jan 31, 2016"
naver,2,186,266,10711,"Jan 24, 2016"
naver,2,185,265,10157,"Jan 17, 2016"
naver,2,184,264,12426,"Jan 10, 2016"
naver,2,183,263,9627,"Jan 03, 2016"
naver,2,182,262,6262,"Dec 27, 2015"
naver,2,181,261,7810,"Dec 20, 2015"
naver,2,180,260,7876,"Dec 13, 2015"
naver,2,179,259,11048,"Dec 06, 2015"
naver,2,178,258,10106,"Nov 29, 2015"
naver,2,177,257,8624,"Nov 22, 2015"
naver,2,176,256,7877,"Nov 15, 2015"
naver,2,175,255,10197,"Nov 08, 2015"
naver,2,174,254,8243,"Nov 01, 2015"
naver,2,173,253,17896,"Oct 25, 2015"
naver,2,172,252,9317,"Oct 18, 2015"
naver,2,171,251,11742,"Oct 11, 2015"
naver,2,170,250,10557,"Oct 04, 2015"
naver,2,169,249,10166,"Sep 27, 2015"
naver,2,168,248,8871,"Sep 20, 2015"
naver,2,167,247,7879,"Sep 13, 2015"
naver,2,166,246,8066,"Sep 06, 2015"
naver,2,165,245,9981,"Aug 30, 2015"
naver,2,164,244,10219,"Aug 23, 2015"
naver,2,163,243,13965,"Aug 16, 2015"
naver,2,162,242,11232,"Aug 09, 2015"
naver,2,161,241,9505,"Aug 02, 2015"
naver,2,160,240,8008,"Jul 26, 2015"
naver,2,159,239,6792,"Jul 19, 2015"
naver,2,158,238,10053,"Jul 12, 2015"
naver,2,157,237,10965,"Jul 05, 2015"
naver,2,156,236,14435,"Jun 28, 2015"
naver,2,155,235,6641,"Jun 21, 2015"
naver,2,154,234,6600,"Jun 14, 2015"
naver,2,153,233,7009,"Jun 07, 2015"
naver,2,152,232,12935,"May 24, 2015"
naver,2,151,231,7882,"May 17, 2015"
naver,2,150,230,11232,"May 10, 2015"
naver,2,149,229,27793,"May 03, 2015"
naver,2,148,228,9815,"Apr 26, 2015"
naver,2,147,227,20753,"Apr 19, 2015"
naver,2,146,226,14258,"Apr 12, 2015"
naver,2,145,225,11059,"Apr 05, 2015"
naver,2,144,224,13569,"Mar 29, 2015"
naver,2,143,223,14804,"Mar 22, 2015"
naver,2,142,222,11184,"Mar 15, 2015"
naver,2,141,221,12073,"Mar 08, 2015"
naver,2,140,220,8536,"Mar 01, 2015"
naver,2,139,219,17597,"Feb 22, 2015"
naver,2,138,218,10312,"Feb 15, 2015"
naver,2,137,217,9906,"Feb 08, 2015"
naver,2,136,216,15247,"Feb 01, 2015"
naver,2,135,215,14820,"Jan 25, 2015"
naver,2,134,214,23009,"Jan 18, 2015"
naver,2,133,213,13026,"Jan 11, 2015"
naver,2,132,212,13163,"Jan 04, 2015"
naver,2,131,211,7908,"Dec 28, 2014"
naver,2,130,210,8354,"Dec 21, 2014"
naver,2,129,209,11204,"Dec 14, 2014"
naver,2,128,208,10798,"Dec 07, 2014"
naver,2,127,207,12421,"Nov 30, 2014"
naver,2,126,206,15678,"Nov 23, 2014"
naver,2,125,205,17242,"Nov 16, 2014"
naver,2,124,204,15165,"Nov 09, 2014"
naver,2,123,203,41985,"Nov 02, 2014"
naver,2,122,202,14656,"Oct 26, 2014"
naver,2,121,201,15656,"Oct 19, 2014"
naver,2,120,200,15418,"Oct 12, 2014"
naver,2,119,199,16491,"Oct 05, 2014"
naver,2,118,198,35714,"Sep 21, 2014"
naver,2,117,197,15018,"Sep 14, 2014"
naver,2,116,196,13741,"Sep 07, 2014"
naver,2,115,195,13799,"Aug 31, 2014"
naver,2,114,194,14936,"Aug 24, 2014"
naver,2,113,193,50024,"Aug 10, 2014"
naver,2,112,192,30625,"Aug 03, 2014"
naver,2,111,191,48939,"Jul 27, 2014"
naver,2,110,190,112844,"May 04, 2014"
naver,2,109,189,41971,"Apr 27, 2014"
naver,2,108,188,17235,"Apr 20, 2014"
naver,2,107,187,19378,"Apr 13, 2014"
naver,2,106,186,19907,"Apr 06, 2014"
naver,2,105,185,16815,"Mar 30, 2014"
naver,2,104,184,27682,"Mar 23, 2014"
naver,2,103,183,35615,"Mar 09, 2014"
naver,2,102,182,19078,"Mar 02, 2014"
naver,2,101,181,21318,"Feb 23, 2014"
naver,2,100,180,27024,"Feb 16, 2014"
naver,2,99,179,23181,"Feb 09, 2014"
naver,2,98,178,27797,"Feb 02, 2014"
naver,2,97,177,119696,"Jan 26, 2014"
naver,2,96,176,33643,"Jan 19, 2014"
naver,2,95,175,37014,"Jan 12, 2014"
naver,2,94,174,30700,"Jan 05, 2014"
naver,2,93,173,26115,"Dec 29, 2013"
naver,2,92,172,27947,"Dec 22, 2013"
naver,2,91,171,32356,"Dec 15, 2013"
naver,2,90,170,34073,"Dec 08, 2013"
naver,2,89,169,19548,"Dec 01, 2013"
naver,2,88,168,30627,"Nov 24, 2013"
naver,2,87,167,31961,"Nov 17, 2013"
naver,2,86,166,25373,"Nov 10, 2013"
naver,2,85,165,19359,"Nov 03, 2013"
naver,2,84,164,29764,"Oct 27, 2013"
naver,2,83,163,25581,"Oct 20, 2013"
naver,2,82,162,26825,"Oct 06, 2013"
naver,3,133,550,7243,"Aug 14, 2022"
naver,2,81,161,45350,"Sep 22, 2013"
naver,2,80,160,35588,"Sep 15, 2013"
naver,2,79,159,28908,"Sep 08, 2013"
naver,2,78,158,51199,"Sep 01, 2013"
naver,2,77,157,41685,"Aug 25, 2013"
naver,2,76,156,29190,"Aug 18, 2013"
naver,2,75,155,30576,"Aug 11, 2013"
naver,2,74,154,198581,"Aug 04, 2013"
naver,2,73,153,33204,"Jul 28, 2013"
naver,2,72,152,32421,"Jul 21, 2013"
naver,2,71,151,23107,"Jul 14, 2013"
naver,2,70,150,62400,"Jul 07, 2013"
naver,2,69,149,24418,"Jun 30, 2013"
naver,2,68,148,24831,"Jun 23, 2013"
naver,2,67,147,32152,"Jun 16, 2013"
naver,2,66,146,35540,"Jun 09, 2013"
naver,2,65,145,77106,"May 19, 2013"
naver,2,64,144,33748,"May 12, 2013"
naver,2,63,143,22039,"May 05, 2013"
naver,2,62,142,20471,"Apr 28, 2013"
naver,2,61,141,23206,"Apr 21, 2013"
naver,2,60,140,25506,"Apr 14, 2013"
naver,2,59,139,26140,"Apr 07, 2013"
naver,2,58,138,24366,"Mar 31, 2013"
naver,2,57,137,23363,"Mar 24, 2013"
naver,2,56,136,26574,"Mar 17, 2013"
naver,2,55,135,35556,"Mar 10, 2013"
naver,2,54,134,31004,"Mar 03, 2013"
naver,2,53,133,57510,"Feb 24, 2013"
naver,2,52,132,34203,"Feb 17, 2013"
naver,2,51,131,63914,"Feb 10, 2013"
naver,2,50,130,80920,"Feb 03, 2013"
naver,2,49,129,140780,"Jan 27, 2013"
naver,2,48,128,33798,"Jan 20, 2013"
naver,2,47,127,24304,"Jan 13, 2013"
naver,2,46,126,23208,"Jan 06, 2013"
naver,2,45,125,27656,"Dec 30, 2012"
naver,2,44,124,17256,"Dec 23, 2012"
naver,2,43,123,17471,"Dec 16, 2012"
naver,2,42,122,18994,"Dec 09, 2012"
naver,2,41,121,17289,"Dec 02, 2012"
naver,2,40,120,31825,"Nov 25, 2012"
naver,2,39,119,24719,"Nov 18, 2012"
naver,2,38,118,25489,"Nov 11, 2012"
naver,2,37,117,41104,"Oct 21, 2012"
naver,2,36,116,21791,"Oct 14, 2012"
naver,2,35,115,25980,"Oct 07, 2012"
naver,2,34,114,18333,"Sep 30, 2012"
naver,2,33,113,35265,"Sep 23, 2012"
naver,2,32,112,30183,"Sep 16, 2012"
naver,2,31,111,39377,"Sep 09, 2012"
naver,2,30,110,23786,"Sep 02, 2012"
naver,2,29,109,27687,"Aug 26, 2012"
naver,2,28,108,36957,"Aug 19, 2012"
naver,2,27,107,107683,"Aug 12, 2012"
naver,2,26,106,38946,"Aug 05, 2012"
naver,2,25,105,47594,"Jul 29, 2012"
naver,2,24,104,70516,"Jul 22, 2012"
naver,2,23,103,39015,"Jul 15, 2012"
naver,2,22,102,62873,"Jul 01, 2012"
naver,2,21,101,54445,"Jun 24, 2012"
naver,2,20,100,966284,"Jun 17, 2012"
naver,2,19,99,17712,"Jun 10, 2012"
naver,2,18,98,21827,"Jun 03, 2012"
naver,2,17,97,13618,"May 28, 2012"
naver,2,16,96,13539,"May 21, 2012"
naver,2,15,95,12838,"May 14, 2012"
naver,2,14,94,16274,"May 07, 2012"
naver,2,13,93,20577,"Apr 30, 2012"
naver,2,12,92,15912,"Apr 23, 2012"
naver,2,11,91,18130,"Apr 16, 2012"
naver,2,10,90,17542,"Apr 09, 2012"
naver,2,9,89,19119,"Apr 02, 2012"
naver,2,8,88,15508,"Mar 26, 2012"
naver,2,7,87,19312,"Mar 19, 2012"
naver,2,6,86,12245,"Mar 12, 2012"
naver,2,5,85,12462,"Mar 05, 2012"
naver,2,4,84,17237,"Feb 27, 2012"
naver,2,3,83,20921,"Feb 20, 2012"
naver,2,2,82,17884,"Feb 13, 2012"
naver,2,1,81,22476,"Feb 06, 2012"
naver,2,0,80,24156,"Jan 30, 2012"
naver,1,78,79,17399,"Jan 02, 2012"
naver,1,77,78,18073,"Dec 26, 2011"
naver,1,76,77,13595,"Dec 19, 2011"
naver,1,75,76,31087,"Dec 12, 2011"
naver,1,74,75,44275,"Nov 28, 2011"
naver,1,73,74,11520,"Nov 21, 2011"
naver,1,72,73,11859,"Nov 14, 2011"
naver,1,71,72,9765,"Nov 07, 2011"
naver,1,70,71,17288,"Oct 31, 2011"
naver,1,69,70,7073,"Oct 24, 2011"
naver,1,68,69,18319,"Oct 17, 2011"
naver,1,67,68,7099,"Oct 10, 2011"
naver,1,66,67,7624,"Oct 03, 2011"
naver,1,65,66,7103,"Sep 26, 2011"
naver,1,64,65,9702,"Sep 19, 2011"
naver,1,63,64,5539,"Sep 12, 2011"
naver,1,62,63,6101,"Sep 05, 2011"
naver,1,61,62,10315,"Aug 29, 2011"
naver,1,60,61,8031,"Aug 22, 2011"
naver,1,59,60,14838,"Aug 15, 2011"
naver,1,58,59,21572,"Aug 08, 2011"
naver,1,57,58,9570,"Aug 01, 2011"
naver,1,56,57,7990,"Jul 25, 2011"
naver,1,55,56,14536,"Jul 18, 2011"
naver,1,54,55,7873,"Jul 11, 2011"
naver,1,53,54,16259,"Jul 04, 2011"
naver,1,52,53,11898,"Jun 27, 2011"
naver,1,51,52,7524,"Jun 20, 2011"
naver,1,50,51,6264,"Jun 13, 2011"
naver,1,49,50,7516,"Jun 06, 2011"
naver,1,48,49,13486,"May 30, 2011"
naver,1,47,48,9781,"May 23, 2011"
naver,1,46,47,6778,"May 16, 2011"
naver,1,45,46,12021,"May 09, 2011"
naver,1,44,45,7238,"May 02, 2011"
naver,1,43,44,6861,"Apr 25, 2011"
naver,1,42,43,6547,"Apr 18, 2011"
naver,1,41,42,12561,"Apr 11, 2011"
naver,1,40,41,12947,"Apr 04, 2011"
naver,1,39,40,6765,"Mar 28, 2011"
naver,1,38,39,4001,"Mar 21, 2011"
naver,1,37,38,5976,"Mar 14, 2011"
naver,1,36,37,6540,"Mar 07, 2011"
naver,1,35,36,7460,"Feb 28, 2011"
naver,1,34,35,7492,"Feb 21, 2011"
naver,1,33,34,8665,"Feb 14, 2011"
naver,1,32,33,7452,"Feb 07, 2011"
naver,1,31,32,7126,"Jan 31, 2011"
naver,1,30,31,14680,"Jan 24, 2011"
naver,1,29,30,11239,"Jan 17, 2011"
naver,1,28,29,17775,"Jan 10, 2011"
naver,1,27,28,10557,"Jan 03, 2011"
naver,1,26,27,13463,"Dec 27, 2010"
naver,1,25,26,10198,"Dec 20, 2010"
naver,1,24,25,11412,"Dec 13, 2010"
naver,1,23,24,8950,"Dec 06, 2010"
naver,1,22,23,11537,"Nov 29, 2010"
naver,1,21,22,7509,"Nov 22, 2010"
naver,1,20,21,12691,"Nov 15, 2010"
naver,1,19,20,13160,"Nov 08, 2010"
naver,1,18,19,10255,"Nov 01, 2010"
naver,1,17,18,6897,"Oct 25, 2010"
naver,1,16,17,7421,"Oct 18, 2010"
naver,1,15,16,6149,"Oct 11, 2010"
naver,1,14,15,9581,"Oct 04, 2010"
naver,1,13,14,13273,"Sep 27, 2010"
naver,1,12,13,13620,"Sep 20, 2010"
naver,1,11,12,12347,"Sep 13, 2010"
naver,1,10,11,8251,"Sep 06, 2010"
naver,1,9,10,14457,"Aug 30, 2010"
naver,1,8,9,11700,"Aug 23, 2010"
naver,1,7,8,13209,"Aug 16, 2010"
naver,1,6,7,12649,"Aug 09, 2010"
naver,1,5,6,12178,"Aug 02, 2010"
naver,1,4,5,16195,"Jul 26, 2010"
naver,1,3,4,14064,"Jul 19, 2010"
naver,1,2,3,18771,"Jul 12, 2010"
naver,1,1,2,29480,"Jul 05, 2010"
naver,1,0,1,55234,"Jun 30, 2010"
