site,season,season_chapter,overall_chapter,engagement_count,date
webtoon,3,133,550,60400,"Aug 21, 2022"
webtoon,3,132,549,45997,"Aug 14, 2022"
webtoon,3,131,548,46928,"Aug 07, 2022"
webtoon,3,130,547,48989,"Jul 31, 2022"
webtoon,3,129,546,49421,"Jul 24, 2022"
webtoon,3,128,545,50083,"Jul 17, 2022"
webtoon,3,127,544,50720,"Jul 10, 2022"
webtoon,3,126,543,52750,"Jul 03, 2022"
webtoon,3,125,542,61800,"Jun 26, 2022"
webtoon,3,124,541,53541,"Jun 19, 2022"
webtoon,3,123,540,54364,"Jun 12, 2022"
webtoon,3,122,539,56842,"Jun 05, 2022"
webtoon,3,121,538,56380,"May 29, 2022"
webtoon,3,120,537,58172,"May 22, 2022"
webtoon,3,119,536,56358,"May 15, 2022"
webtoon,3,118,535,59026,"May 08, 2022"
webtoon,3,117,534,58361,"May 01, 2022"
webtoon,3,116,533,59342,"Apr 24, 2022"
webtoon,3,115,532,64783,"Apr 17, 2022"
webtoon,3,114,531,59419,"Apr 10, 2022"
webtoon,3,113,530,60024,"Apr 03, 2022"
webtoon,3,112,529,61015,"Mar 27, 2022"
webtoon,3,111,528,59930,"Mar 20, 2022"
webtoon,3,110,527,61502,"Mar 13, 2022"
webtoon,3,109,526,63398,"Mar 06, 2022"
webtoon,3,108,525,62361,"Feb 27, 2022"
webtoon,3,107,524,62986,"Feb 20, 2022"
webtoon,3,106,523,66198,"Feb 13, 2022"
webtoon,3,105,522,62654,"Feb 06, 2022"
webtoon,3,104,521,64377,"Jan 30, 2022"
webtoon,3,103,520,72147,"Jan 23, 2022"
webtoon,3,102,519,65611,"Jan 16, 2022"
webtoon,3,101,518,67873,"Jan 09, 2022"
webtoon,3,100,517,74565,"Jan 02, 2022"
webtoon,3,99,516,71150,"Dec 26, 2021"
webtoon,3,98,515,72658,"Dec 19, 2021"
webtoon,3,97,514,77681,"Dec 12, 2021"
webtoon,3,96,513,73399,"Dec 05, 2021"
webtoon,3,95,512,76409,"Nov 28, 2021"
webtoon,3,94,511,78881,"Nov 21, 2021"
webtoon,3,93,510,87813,"Nov 14, 2021"
webtoon,3,92,509,102256,"Nov 07, 2021"
webtoon,3,91,508,83077,"Oct 31, 2021"
webtoon,3,90,507,81163,"Oct 24, 2021"
webtoon,3,89,506,78877,"Oct 17, 2021"
webtoon,3,88,505,83604,"Oct 10, 2021"
webtoon,3,87,504,98811,"Oct 03, 2021"
webtoon,3,86,503,86376,"Sep 26, 2021"
webtoon,3,85,502,78202,"Sep 19, 2021"
webtoon,3,84,501,79675,"Sep 12, 2021"
webtoon,3,83,500,90203,"Sep 05, 2021"
webtoon,3,82,499,82926,"Aug 29, 2021"
webtoon,3,81,498,89173,"Aug 22, 2021"
webtoon,3,80,497,83864,"Aug 15, 2021"
webtoon,3,79,496,90972,"Aug 08, 2021"
webtoon,3,78,495,117684,"Aug 01, 2021"
webtoon,3,77,494,101885,"Jul 25, 2021"
webtoon,3,76,493,121852,"Jul 18, 2021"
webtoon,3,75,492,86378,"Jul 11, 2021"
webtoon,3,74,491,88658,"Jul 04, 2021"
webtoon,3,73,490,91100,"Jun 27, 2021"
webtoon,3,72,489,99607,"Jun 20, 2021"
webtoon,3,71,488,108702,"Jun 13, 2021"
webtoon,3,70,487,115003,"Jun 06, 2021"
webtoon,3,69,486,137360,"May 30, 2021"
webtoon,3,68,485,201501,"Jun 28, 2020"
webtoon,3,67,484,159402,"Jun 21, 2020"
webtoon,3,66,483,142859,"Jun 14, 2020"
webtoon,3,65,482,168806,"Jun 07, 2020"
webtoon,3,64,481,150263,"May 31, 2020"
webtoon,3,63,480,153384,"May 24, 2020"
webtoon,3,62,479,144634,"May 17, 2020"
webtoon,3,61,478,144258,"May 10, 2020"
webtoon,3,60,477,137397,"May 03, 2020"
webtoon,3,59,476,132743,"Apr 26, 2020"
webtoon,3,58,475,142201,"Apr 19, 2020"
webtoon,3,57,474,154319,"Apr 12, 2020"
webtoon,3,56,473,130912,"Apr 05, 2020"
webtoon,3,55,472,140017,"Mar 29, 2020"
webtoon,3,54,471,139826,"Mar 22, 2020"
webtoon,3,53,470,154512,"Mar 15, 2020"
webtoon,3,52,469,137921,"Mar 08, 2020"
webtoon,3,51,468,142691,"Mar 01, 2020"
webtoon,3,50,467,133946,"Feb 23, 2020"
webtoon,3,49,466,157299,"Feb 16, 2020"
webtoon,3,48,465,153581,"Feb 09, 2020"
webtoon,3,47,464,135268,"Feb 02, 2020"
webtoon,3,46,463,125785,"Jan 26, 2020"
webtoon,3,45,462,127520,"Jan 19, 2020"
webtoon,3,44,461,124340,"Jan 12, 2020"
webtoon,3,43,460,127106,"Jan 05, 2020"
webtoon,3,42,459,138725,"Dec 29, 2019"
webtoon,3,41,458,120675,"Dec 22, 2019"
webtoon,3,40,457,132577,"Dec 15, 2019"
webtoon,3,39,456,135432,"Dec 08, 2019"
webtoon,3,38,455,127852,"Dec 01, 2019"
webtoon,3,37,454,133161,"Nov 24, 2019"
webtoon,3,36,453,130322,"Nov 17, 2019"
webtoon,3,35,452,137490,"Nov 10, 2019"
webtoon,3,34,451,127760,"Nov 03, 2019"
webtoon,3,33,450,132096,"Oct 27, 2019"
webtoon,3,32,449,137987,"Oct 20, 2019"
webtoon,3,31,448,152575,"Oct 13, 2019"
webtoon,3,30,447,205389,"Oct 06, 2019"
webtoon,3,29,446,147261,"Sep 29, 2019"
webtoon,3,28,445,128781,"Sep 22, 2019"
webtoon,3,27,444,136588,"Sep 15, 2019"
webtoon,3,26,443,129900,"Sep 08, 2019"
webtoon,3,25,442,130413,"Sep 01, 2019"
webtoon,3,24,441,123086,"Aug 25, 2019"
webtoon,3,23,440,127211,"Aug 18, 2019"
webtoon,3,22,439,128476,"Aug 11, 2019"
webtoon,3,21,438,123400,"Aug 04, 2019"
webtoon,3,20,437,125233,"Jul 28, 2019"
webtoon,3,19,436,127974,"Jul 21, 2019"
webtoon,3,18,435,126693,"Jul 14, 2019"
webtoon,3,17,434,126355,"Jul 07, 2019"
webtoon,3,16,433,121483,"Jun 30, 2019"
webtoon,3,15,432,127601,"Jun 23, 2019"
webtoon,3,14,431,127470,"Jun 16, 2019"
webtoon,3,13,430,120959,"Jun 09, 2019"
webtoon,3,12,429,126225,"Jun 02, 2019"
webtoon,3,11,428,123296,"May 26, 2019"
webtoon,3,10,427,134416,"May 19, 2019"
webtoon,3,9,426,135348,"May 12, 2019"
webtoon,3,8,425,181670,"May 05, 2019"
webtoon,3,7,424,127555,"Apr 28, 2019"
webtoon,3,6,423,149302,"Apr 21, 2019"
webtoon,3,5,422,162199,"Apr 14, 2019"
webtoon,3,4,421,133509,"Apr 07, 2019"
webtoon,3,3,420,131687,"Mar 31, 2019"
webtoon,3,2,419,148955,"Mar 24, 2019"
webtoon,3,1,418,137602,"Mar 17, 2019"
webtoon,2,337,417,192072,"Jan 27, 2019"
webtoon,2,336,416,131998,"Jan 20, 2019"
webtoon,2,335,415,130830,"Jan 13, 2019"
webtoon,2,334,414,151178,"Dec 31, 2018"
webtoon,2,333,413,131173,"Dec 24, 2018"
webtoon,2,332,412,127984,"Dec 17, 2018"
webtoon,2,331,411,131190,"Dec 10, 2018"
webtoon,2,330,410,137326,"Dec 03, 2018"
webtoon,2,329,409,145650,"Nov 26, 2018"
webtoon,2,328,408,129880,"Nov 19, 2018"
webtoon,2,327,407,122037,"Nov 12, 2018"
webtoon,2,326,406,126699,"Nov 05, 2018"
webtoon,2,325,405,133875,"Oct 29, 2018"
webtoon,2,324,404,137262,"Oct 22, 2018"
webtoon,2,323,403,127443,"Oct 15, 2018"
webtoon,2,322,402,123688,"Oct 08, 2018"
webtoon,2,321,401,133602,"Oct 01, 2018"
webtoon,2,320,400,170324,"Sep 24, 2018"
webtoon,2,319,399,127276,"Sep 17, 2018"
webtoon,2,318,398,127385,"Sep 10, 2018"
webtoon,2,317,397,125113,"Sep 03, 2018"
webtoon,2,316,396,143534,"Aug 27, 2018"
webtoon,2,315,395,124042,"Aug 20, 2018"
webtoon,2,314,394,138765,"Aug 13, 2018"
webtoon,2,313,393,123908,"Aug 06, 2018"
webtoon,2,312,392,127732,"Jul 30, 2018"
webtoon,2,311,391,126426,"Jul 23, 2018"
webtoon,2,310,390,135771,"Jul 16, 2018"
webtoon,2,309,389,123145,"Jul 09, 2018"
webtoon,2,308,388,141720,"Jul 02, 2018"
webtoon,2,307,387,162602,"Jun 25, 2018"
webtoon,2,306,386,189314,"Jun 18, 2018"
webtoon,2,305,385,142793,"Jun 11, 2018"
webtoon,2,304,384,135473,"Jun 04, 2018"
webtoon,2,303,383,132304,"May 28, 2018"
webtoon,2,302,382,139395,"May 21, 2018"
webtoon,2,301,381,200637,"May 14, 2018"
webtoon,2,300,380,145130,"May 07, 2018"
webtoon,2,299,379,160161,"Apr 30, 2018"
webtoon,2,298,378,133508,"Apr 23, 2018"
webtoon,2,297,377,142728,"Apr 16, 2018"
webtoon,2,296,376,136305,"Apr 09, 2018"
webtoon,2,295,375,134608,"Apr 02, 2018"
webtoon,2,294,374,155569,"Mar 26, 2018"
webtoon,2,293,373,164352,"Mar 19, 2018"
webtoon,2,292,372,173086,"Mar 12, 2018"
webtoon,2,291,371,141957,"Mar 05, 2018"
webtoon,2,290,370,149771,"Feb 26, 2018"
webtoon,2,289,369,193744,"Feb 19, 2018"
webtoon,2,288,368,146902,"Feb 12, 2018"
webtoon,2,287,367,92693,"Feb 05, 2018"
webtoon,2,286,366,97457,"Jan 29, 2018"
webtoon,2,285,365,98549,"Jan 22, 2018"
webtoon,2,284,364,88370,"Jan 15, 2018"
webtoon,2,283,363,84809,"Jan 08, 2018"
webtoon,2,282,362,85572,"Jan 01, 2018"
webtoon,2,281,361,86273,"Dec 25, 2017"
webtoon,2,280,360,82530,"Dec 18, 2017"
webtoon,2,279,359,85381,"Dec 11, 2017"
webtoon,2,278,358,85008,"Dec 04, 2017"
webtoon,2,277,357,86668,"Nov 27, 2017"
webtoon,2,276,356,86434,"Nov 20, 2017"
webtoon,2,275,355,83694,"Nov 13, 2017"
webtoon,2,274,354,84016,"Nov 06, 2017"
webtoon,2,273,353,93700,"Oct 30, 2017"
webtoon,2,272,352,112469,"Oct 23, 2017"
webtoon,2,271,351,120008,"Oct 16, 2017"
webtoon,2,270,350,86447,"Oct 09, 2017"
webtoon,2,269,349,106464,"Oct 02, 2017"
webtoon,2,268,348,141004,"Sep 25, 2017"
webtoon,2,267,347,97271,"Sep 18, 2017"
webtoon,2,266,346,145473,"Sep 11, 2017"
webtoon,2,265,345,76310,"Sep 04, 2017"
webtoon,2,264,344,76204,"Aug 28, 2017"
webtoon,2,263,343,73057,"Aug 21, 2017"
webtoon,2,262,342,73134,"Aug 14, 2017"
webtoon,2,261,341,73276,"Aug 07, 2017"
webtoon,2,260,340,75561,"Jul 31, 2017"
webtoon,2,259,339,77850,"Jul 24, 2017"
webtoon,2,258,338,75911,"Jul 17, 2017"
webtoon,2,257,337,81733,"Jul 10, 2017"
webtoon,2,256,336,76053,"Jun 26, 2017"
webtoon,2,255,335,75540,"Jun 19, 2017"
webtoon,2,254,334,77068,"Jun 12, 2017"
webtoon,2,253,333,91621,"Jun 05, 2017"
webtoon,2,252,332,74071,"May 29, 2017"
webtoon,2,251,331,73370,"May 22, 2017"
webtoon,2,250,330,79281,"May 15, 2017"
webtoon,2,249,329,73344,"May 08, 2017"
webtoon,2,248,328,73285,"May 01, 2017"
webtoon,2,247,327,74534,"Apr 24, 2017"
webtoon,2,246,326,74594,"Apr 17, 2017"
webtoon,2,245,325,73234,"Apr 10, 2017"
webtoon,2,244,324,77575,"Apr 03, 2017"
webtoon,2,243,323,71033,"Mar 27, 2017"
webtoon,2,242,322,73396,"Mar 20, 2017"
webtoon,2,241,321,73131,"Mar 13, 2017"
webtoon,2,240,320,79686,"Mar 06, 2017"
webtoon,2,239,319,75682,"Feb 27, 2017"
webtoon,2,238,318,73007,"Feb 20, 2017"
webtoon,2,237,317,71499,"Feb 13, 2017"
webtoon,2,236,316,69804,"Feb 06, 2017"
webtoon,2,235,315,68957,"Jan 30, 2017"
webtoon,2,234,314,70673,"Jan 23, 2017"
webtoon,2,233,313,70859,"Jan 16, 2017"
webtoon,2,232,312,70668,"Jan 09, 2017"
webtoon,2,231,311,71376,"Jan 02, 2017"
webtoon,2,230,310,73452,"Dec 26, 2016"
webtoon,2,229,309,72182,"Dec 19, 2016"
webtoon,2,228,308,70637,"Dec 12, 2016"
webtoon,2,227,307,70788,"Dec 05, 2016"
webtoon,2,226,306,70032,"Nov 28, 2016"
webtoon,2,225,305,71677,"Nov 21, 2016"
webtoon,2,224,304,70340,"Nov 14, 2016"
webtoon,2,223,303,70433,"Nov 07, 2016"
webtoon,2,222,302,72630,"Oct 31, 2016"
webtoon,2,221,301,74027,"Oct 24, 2016"
webtoon,2,220,300,76618,"Oct 17, 2016"
webtoon,2,219,299,73331,"Oct 10, 2016"
webtoon,2,218,298,72600,"Oct 03, 2016"
webtoon,2,217,297,70028,"Sep 26, 2016"
webtoon,2,216,296,70540,"Sep 19, 2016"
webtoon,2,215,295,71515,"Sep 12, 2016"
webtoon,2,214,294,72339,"Sep 05, 2016"
webtoon,2,213,293,70146,"Aug 29, 2016"
webtoon,2,212,292,69347,"Aug 22, 2016"
webtoon,2,211,291,70237,"Aug 15, 2016"
webtoon,2,210,290,71619,"Aug 08, 2016"
webtoon,2,209,289,76987,"Aug 01, 2016"
webtoon,2,208,288,68980,"Jul 25, 2016"
webtoon,2,207,287,70505,"Jul 18, 2016"
webtoon,2,206,286,69957,"Jul 11, 2016"
webtoon,2,205,285,73047,"Jul 04, 2016"
webtoon,2,204,284,74538,"Jun 27, 2016"
webtoon,2,203,283,71274,"Jun 20, 2016"
webtoon,2,202,282,73063,"Jun 13, 2016"
webtoon,2,201,281,71167,"Jun 06, 2016"
